1.2000
0.0000,0.0000,0.0000,0.0000, 0.00, 
0.0006,0.0012,0.0006,0.0012,-0.11, 
0.0030,0.0036,0.0030,0.0036,-0.11, 
0.0084,0.0072,0.0084,0.0072,-0.11, 
0.0180,0.0120,0.0180,0.0120,-0.11, 
0.0330,0.0180,0.0330,0.0180,-0.11, 
0.0546,0.0252,0.0546,0.0252,-0.11, 
0.0840,0.0336,0.0840,0.0336,-0.11, 
0.1224,0.0432,0.1224,0.0432,-0.11, 
0.1710,0.0540,0.1710,0.0540,-0.11, 
0.2310,0.0660,0.2310,0.0660,-0.11, 
0.3030,0.0780,0.3030,0.0780,-0.11, 
0.3870,0.0900,0.3870,0.0900,-0.11, 
0.4830,0.1020,0.4830,0.1020,-0.11, 
0.5910,0.1140,0.5910,0.1140,-0.11, 
0.7110,0.1260,0.7110,0.1260,-0.11, 
0.8430,0.1380,0.8430,0.1380,-0.11, 
0.9870,0.1500,0.9870,0.1500,-0.11, 
1.1430,0.1620,1.1430,0.1620,-0.11, 
1.3109,0.1740,1.3111,0.1740,-0.11, 
1.4909,0.1860,1.4911,0.1860,-0.11, 
1.6829,0.1980,1.6831,0.1980,-0.11, 
1.8869,0.2100,1.8871,0.2100,-0.11, 
2.1029,0.2220,2.1031,0.2220,-0.11, 
2.3308,0.2340,2.3312,0.2340,-0.11, 
2.5708,0.2460,2.5712,0.2460,-0.11, 
2.8227,0.2580,2.8233,0.2580,-0.11, 
3.0867,0.2699,3.0873,0.2701,-0.11, 
3.3626,0.2819,3.3634,0.2821,-0.11, 
3.6506,0.2939,3.6514,0.2941,-0.11, 
3.9505,0.3059,3.9515,0.3061,-0.11, 
4.2624,0.3179,4.2636,0.3181,-0.11, 
4.5863,0.3299,4.5877,0.3301,-0.11, 
4.9222,0.3419,4.9238,0.3421,-0.11, 
5.2701,0.3539,5.2719,0.3541,-0.10, 
5.6299,0.3659,5.6321,0.3661,-0.10, 
6.0018,0.3778,6.0042,0.3782,-0.10, 
6.3856,0.3898,6.3884,0.3902,-0.10, 
6.7815,0.4018,6.7845,0.4022,-0.10, 
7.1893,0.4138,7.1927,0.4142,-0.10, 
7.6091,0.4258,7.6129,0.4262,-0.10, 
8.0402,0.4366,8.0446,0.4370,-0.10, 
8.4816,0.4461,8.4864,0.4467,-0.10, 
8.9319,0.4545,8.9373,0.4551,-0.10, 
9.3900,0.4617,9.3960,0.4623,-0.10, 
9.8547,0.4677,9.8613,0.4683,-0.09, 
10.3248,0.4725,10.3320,0.4731,-0.09, 
10.7991,0.4760,10.8069,0.4768,-0.09, 
11.2763,0.4784,11.2849,0.4792,-0.09, 
11.7553,0.4796,11.7647,0.4804,-0.09, 
12.2349,0.4796,12.2451,0.4804,-0.08, 
12.7145,0.4796,12.7255,0.4804,-0.08, 
13.1941,0.4796,13.2059,0.4804,-0.08, 
13.6736,0.4795,13.6864,0.4805,-0.08, 
14.1532,0.4795,14.1668,0.4805,-0.08, 
14.6327,0.4795,14.6473,0.4805,-0.07, 
15.1122,0.4795,15.1278,0.4805,-0.07, 
15.5917,0.4795,15.6083,0.4805,-0.07, 
16.0711,0.4795,16.0889,0.4805,-0.07, 
16.5506,0.4794,16.5694,0.4806,-0.06, 
17.0300,0.4794,17.0500,0.4806,-0.06, 
17.5094,0.4794,17.5306,0.4806,-0.06, 
17.9888,0.4794,18.0112,0.4806,-0.06, 
18.4682,0.4794,18.4918,0.4806,-0.05, 
18.9475,0.4793,18.9725,0.4807,-0.05, 
19.4269,0.4793,19.4531,0.4807,-0.05, 
19.9062,0.4793,19.9338,0.4807,-0.04, 
20.3855,0.4793,20.4145,0.4807,-0.04, 
20.8647,0.4793,20.8953,0.4807,-0.04, 
21.3440,0.4792,21.3760,0.4808,-0.03, 
21.8232,0.4792,21.8568,0.4808,-0.03, 
22.3024,0.4792,22.3376,0.4808,-0.03, 
22.7816,0.4792,22.8184,0.4808,-0.02, 
23.2608,0.4792,23.2992,0.4808,-0.02, 
23.7399,0.4791,23.7801,0.4809,-0.01, 
24.2190,0.4791,24.2610,0.4809,-0.01, 
